경도,위도,최대수용인원,도로명주소,대피소 종류,시설면적(㎡),운영상태
129.07258360449845,35.0750211308311,880,부산광역시 영도구 절영로 551 ,민방위,726.0,사용중
129.07258360449845,35.0750211308311,1144,부산광역시 영도구 절영로 551 ,민방위,944.0,사용중
129.03749811014396,35.089964927944365,314,부산광역시 영도구 남항로 7 ,민방위,259.87,사용중
129.04491851447963,35.09461968584672,1760,부산광역시 영도구 대교로6번길 33 ,민방위,1452.0,사용중
129.05735172533682,35.09683232577083,243,부산광역시 영도구 청학서로 67 ,민방위,201.0,사용중
129.04361426001833,35.093120527673186,236,부산광역시 영도구 대교로 11 ,민방위,195.0,사용중
129.0619959807763,35.072039440318754,480,부산광역시 영도구 함지로 35 ,민방위,396.0,사용중
129.07019623170953,35.07923713154286,344,부산광역시 영도구 동삼로 65-1 ,민방위,284.0,사용중
129.0469867658835,35.08407530905687,1744,부산광역시 영도구 중복길 270 ,민방위,1439.0,사용중
129.04084451534874,35.09190288583299,770,부산광역시 영도구 태종로 89 ,민방위,635.63,사용중
129.06313153566092,35.086520858612246,2400,부산광역시 영도구 조내기로 33 ,민방위,1980.0,사용중
129.0715109199517,35.08082610790562,800,부산광역시 영도구 동삼동로 10 ,민방위,660.0,사용중
129.0619959807763,35.072039440318754,480,부산광역시 영도구 함지로 35 ,민방위,396.0,사용중
129.0619959807763,35.072039440318754,480,부산광역시 영도구 함지로 35 ,민방위,396.0,사용중
129.06894569055044,35.083136848851794,400,부산광역시 영도구 동삼북로 2 ,민방위,330.0,사용중
129.06894569055044,35.083136848851794,400,부산광역시 영도구 동삼북로 2 ,민방위,330.0,사용중
129.06894569055044,35.083136848851794,400,부산광역시 영도구 동삼북로 2 ,민방위,330.0,사용중
129.06894569055044,35.083136848851794,400,부산광역시 영도구 동삼북로 2 ,민방위,330.0,사용중
129.06787195056737,35.08684257931445,400,부산광역시 영도구 상리로 1 ,민방위,330.0,사용중
129.06787195056737,35.08684257931445,400,부산광역시 영도구 상리로 1 ,민방위,330.0,사용중
129.06787195056737,35.08684257931445,400,부산광역시 영도구 상리로 1 ,민방위,330.0,사용중
129.06787195056737,35.08684257931445,400,부산광역시 영도구 상리로 1 ,민방위,330.0,사용중
129.06787195056737,35.08684257931445,400,부산광역시 영도구 상리로 1 ,민방위,330.0,사용중
129.06787195056737,35.08684257931445,400,부산광역시 영도구 상리로 1 ,민방위,330.0,사용중
129.06787195056737,35.08684257931445,400,부산광역시 영도구 상리로 1 ,민방위,330.0,사용중
129.06787195056737,35.08684257931445,400,부산광역시 영도구 상리로 1 ,민방위,330.0,사용중
129.06787195056737,35.08684257931445,400,부산광역시 영도구 상리로 1 ,민방위,330.0,사용중
129.06787195056737,35.08684257931445,400,부산광역시 영도구 상리로 1 ,민방위,330.0,사용중
