연번,단지명,주소,동수,층수,연면적,세대수
43,에이스리버팰리스,부산광역시 연제구 연산8동 382-26,1,14,6426.57,66
43,센텀포시즌,부산광역시 연제구 연산9동 418-3,1,12,2934.52,27
43,태광리치뷰,부산광역시 연제구 거제3동 593-5,1,14,2996.8946,36
43,시청역 이지팰리스,부산광역시 연제구 연산동 1355-6,2,23,17403.1566,130
43,연산 포세이돈,부산광역시 연제구 연산5동 705-29,1,12,1800.08,28
43,연산역 휴그린,부산광역시 연제구 연산5동 1259-12,1,13,4548.4359,34
43,성일이안시티,부산광역시 연제구 연산2동 867-2,1,21,1130.8,105
43,큐브빌,부산광역시 연제구 거제3동 589-11,1,14,4458.39,42
43,시청역 퀸즈 W,부산광역시 연제구 연산2동 859-2,1,20,19070.0421,172
43,연산아이브,부산광역시 연제구 연산4동 588-5,1,15,2529.7075,30
43,부산 더샵 시티애비뉴2차,부산광역시 연제구 연산5동 1366-1,2,33,52413.06,216
43,브라운스톤 연제,부산광역시 연제구 연산2동 1573,7,20,49868.5202,521
43,시청역 이즈팰리스2차,부산광역시 연제구 연산5동 1341-7,1,19,5791.27,50
43,센텀 리버 SK VIEW 아파트,부산광역시 연제구 연산9동 2166,6,29,80674.7498,529
43,햇살마루,부산광역시 연제구 연산8동 382-14,1,10,2519.74,22
43,한울차오름,부산광역시 연제구 연산5동 1259-3,1,10,2027.49,47
43,트라움하우스 12차,부산광역시 연제구 연산4동 632-5,1,7,986.28,22
43,거제센텀아파트,부산광역시 연제구 거제2동 1088-2 외1필지,1,14,4477.91,45
43,연산동 일동미라주 더스타,부산광역시 연제구 연산1동 2335,8,34,84987.44,624
43,다사랑빌,부산광역시 연제구 연산동 712-24,1,7,836.91,23
43,웰메이드홈,부산광역시 연제구 연산동 699-3,1,18,6474.1847,76
43,지평 사랑채,부산광역시 연제구 연산동 777-54,1,6,666.75,20
43,큐브빌,부산광역시 연제구 연산동 867-25,1,8,995.66,20
43,월드파크4,부산광역시 연제구 연산동 309-5,1,20,11240.02,108
43,루미랑스,부산광역시 연제구 연산동 1936-21,1,20,5038.395,51
43,아이유 파크(IU-PARK),부산광역시 연제구 연산동 1866-2,1,27,20860.0267,158
43,엘리시움,부산광역시 연제구 연산동 675-3,1,19,2853.2483,31
43,연산 파밀리에,부산광역시 연제구 연산동 1492-31,1,9,1444.82,28
43,일호센텀누리,부산광역시 연제구 연산동 1480-5,1,13,4503.46,62
43,토곡빌,부산광역시 연제구 연산9동 4 ,2,5,1287.36,27
43,연산힐링하우스,부산광역시 연제구 연산5동 712-44,1,7,916.35,22
