학교명,도로명주소,위도,경도
부산진여자고등학교,부산광역시 부산진구 양정로 48,35.16950074,129.0750971
만덕고등학교,부산광역시 북구 함박봉로140번길 98-12,35.20179406,129.0345872
당평초등학교,부산광역시 부산진구 백양대로136번길 26,35.16147667,129.0351718
중리초등학교,부산광역시 영도구 와치로 286,35.07420189,129.0701926
대신초등학교,부산광역시 서구 대신로 63,35.1161811,129.0117811
신곡중학교,부산광역시 해운대구 좌동순환로 316,35.16814646,129.1818773
연산초등학교,부산광역시 연제구 월드컵대로 41,35.17826118,129.0841184
정관초등학교,부산광역시 기장군 정관읍 정관로 530,35.32321474,129.1718500316
개포초등학교,부산광역시 부산진구 백양대로208번길 9,35.15883224,129.0265888
동의중학교,부산광역시 부산진구 진남로462번길 16,35.16436585,129.070422
가야고등학교,부산광역시 부산진구 엄광로 152,35.14630264,129.0310877
부산전자공업고등학교,부산광역시 동래구 금강로59번길 51,35.21560631,129.0730588
신도고등학교,부산광역시 해운대구 좌동순환로 64,35.17207941,129.1674214
가남초등학교,부산광역시 부산진구 엄광로 325,35.15451624,129.0440621
석포여자중학교,부산광역시 남구 유엔평화로126번길 63,35.12211493,129.0940301
안락초등학교,부산광역시 동래구 명안로53번길 22,35.20208677,129.1030796
부전초등학교,부산광역시 부산진구 부전로65번길 25,35.15495179,129.0531113
경남여자고등학교,부산광역시 동구 수정중로 29,35.13292384,129.0439489
신곡초등학교,부산광역시 해운대구 좌동순환로 290,35.16997592,129.1818688
칠암초등학교,부산광역시 기장군 일광읍 박영준길 19,35.29857925,129.2559051
만덕중학교,부산광역시 북구 만덕1로 52,35.21489917,129.0316913
장림여자중학교,부산광역시 사하구 두송로 64,35.07862378,128.9812227
부산체육중학교,부산광역시 영도구 중리북로21번길 5,35.07205496,129.064034
와석초등학교,부산광역시 북구 화명대로94번길 83,35.23079664,129.0174223
금정여자고등학교,부산광역시 금정구 서부로76번길 21,35.22026157,129.1011474
남일중학교,부산광역시 동래구 온천천로531번길 49,35.19312221,129.1116161
